Method,Fold,Dialect,,H,N,accuracy,macro avg,weighted avg
all_features,fold_5,PT-PT,f1-score,"0,19354838709677422","0,19354838709677422","0,1935483870967742","0,19354838709677422","0,1935483870967742"
all_features,fold_5,PT-PT,support,"65,0","59,0","0,1935483870967742","124,0","124,0"
all_features,fold_6,PT-BR,precision,"0,2703583061889251","0,23157894736842105","0,2516891891891892","0,25096862677867304","0,2513616608207728"
all_features,fold_6,PT-BR,recall,"0,27483443708609273","0,22758620689655173","0,2516891891891892","0,2512103219913222","0,2516891891891892"
all_features,fold_6,PT-BR,f1-score,"0,27257799671592775","0,22956521739130437","0,2516891891891892","0,2510716070536161","0,2515075473846089"
all_features,fold_6,PT-BR,support,"302,0","290,0","0,2516891891891892","592,0","592,0"
all_features,fold_6,PT-PT,precision,"0,1780821917808219","0,2","0,18699186991869918","0,18904109589041096","0,1905557411738501"
all_features,fold_6,PT-PT,recall,"0,24528301886792453","0,14285714285714285","0,18699186991869918","0,1940700808625337","0,18699186991869918"
all_features,fold_6,PT-PT,f1-score,"0,20634920634920634","0,16666666666666666","0,18699186991869918","0,1865079365079365","0,18376564718028132"
all_features,fold_6,PT-PT,support,"53,0","70,0","0,18699186991869918","123,0","123,0"
all_features,fold_7,PT-BR,precision,"0,23880597014925373","0,2744479495268139","0,25811965811965815","0,2566269598380338","0,25653557014732215"
all_features,fold_7,PT-BR,recall,"0,21768707482993196","0,29896907216494845","0,25811965811965815","0,2583280734974402","0,25811965811965815"
all_features,fold_7,PT-BR,f1-score,"0,2277580071174377","0,28618421052631576","0,25811965811965815","0,25697110882187674","0,25682129804390524"
all_features,fold_7,PT-BR,support,"294,0","291,0","0,25811965811965815","585,0","585,0"
all_features,fold_7,PT-PT,precision,"0,2876712328767123","0,2777777777777778","0,28346456692913385","0,282724505327245","0,2824518510528649"
all_features,fold_7,PT-PT,recall,"0,35","0,22388059701492538","0,28346456692913385","0,28694029850746267","0,28346456692913385"
all_features,fold_7,PT-PT,f1-score,"0,31578947368421056","0,2479338842975207","0,28346456692913385","0,2818616789908656","0,279991643062886"
all_features,fold_7,PT-PT,support,"60,0","67,0","0,28346456692913385","127,0","127,0"
all_features,fold_8,PT-BR,precision,"0,26582278481012656","0,22692307692307692","0,2482638888888889","0,24637293086660172","0,24617032822135668"
all_features,fold_8,PT-BR,recall,"0,29473684210526313","0,2027491408934708","0,2482638888888889","0,24874299149936696","0,2482638888888889"
all_features,fold_8,PT-BR,f1-score,"0,27953410981697174","0,21415607985480944","0,2482638888888889","0,2468450948358906","0,246504584263171"
all_features,fold_8,PT-BR,support,"285,0","291,0","0,2482638888888889","576,0","576,0"
all_features,fold_8,PT-PT,precision,"0,27692307692307694","0,25","0,26277372262773724","0,26346153846153847","0,2641493542953397"
all_features,fold_8,PT-PT,recall,"0,25","0,27692307692307694","0,26277372262773724","0,26346153846153847","0,26277372262773724"
all_features,fold_8,PT-PT,f1-score,"0,26277372262773724","0,26277372262773724","0,26277372262773724","0,26277372262773724","0,26277372262773724"
all_features,fold_8,PT-PT,support,"72,0","65,0","0,26277372262773724","137,0","137,0"
all_features,fold_9,PT-BR,precision,"0,23508771929824562","0,2508710801393728","0,243006993006993","0,24297939971880922","0,2430897728715444"
all_features,fold_9,PT-BR,recall,"0,2375886524822695","0,2482758620689655","0,243006993006993","0,2429322572756175","0,243006993006993"
all_features,fold_9,PT-BR,f1-score,"0,236331569664903","0,24956672443674174","0,243006993006993","0,24294914705082238","0,24304170058069535"
all_features,fold_9,PT-BR,support,"282,0","290,0","0,243006993006993","572,0","572,0"
all_features,fold_9,PT-PT,precision,"0,2112676056338028","0,17391304347826086","0,19285714285714287","0,19259032455603184","0,19312396115825387"
all_features,fold_9,PT-PT,recall,"0,20833333333333334","0,17647058823529413","0,19285714285714287","0,19240196078431374","0,19285714285714287"
all_features,fold_9,PT-PT,f1-score,"0,20979020979020982","0,1751824817518248","0,19285714285714287","0,1924863457710173","0,19298074188585135"
all_features,fold_9,PT-PT,support,"72,0","68,0","0,19285714285714287","140,0","140,0"
bert,fold_0,PT-BR,precision,"0,7132075471698113","0,6656151419558359","0,6872852233676976","0,6894113445628236","0,6897384401313045"
bert,fold_0,PT-BR,recall,"0,6406779661016949","0,735191637630662","0,6872852233676976","0,6879348018661784","0,6872852233676976"
bert,fold_0,PT-BR,f1-score,"0,675","0,6986754966887417","0,6872852233676976","0,6868377483443708","0,6866750301540703"
bert,fold_0,PT-BR,support,"295,0","287,0","0,6872852233676976","582,0","582,0"
bert,fold_0,PT-PT,precision,"0,45652173913043476","0,5465116279069767","0,5151515151515151","0,5015166835187057","0,5056071330085485"
bert,fold_0,PT-PT,recall,"0,35","0,6527777777777778","0,5151515151515151","0,5013888888888889","0,5151515151515151"
bert,fold_0,PT-PT,f1-score,"0,39622641509433965","0,5949367088607594","0,5151515151515151","0,49558156197754955","0,5046138480578414"
bert,fold_0,PT-PT,support,"60,0","72,0","0,5151515151515151","132,0","132,0"
bert,fold_1,PT-BR,precision,"0,6793893129770993","0,6563467492260062","0,6666666666666666","0,6678680311015528","0,6677301696090249"
bert,fold_1,PT-BR,recall,"0,615916955017301","0,7162162162162162","0,6666666666666666","0,6660665856167587","0,6666666666666666"
