Method,Dialect,Fold,,H,N,accuracy,macro avg,weighted avg
albertina,PT_PT,fold_3,precision,"0,4961832061068702","0,0","0,4961832061068702","0,2480916030534351","0,24619777402249282"
albertina,PT_PT,fold_3,recall,"1,0","0,0","0,4961832061068702","0,5","0,4961832061068702"
albertina,PT_PT,fold_3,f1-score,"0,6632653061224489","0,0","0,4961832061068702","0,33163265306122447","0,32910110609129145"
albertina,PT_PT,fold_3,support,"65,0","66,0","0,4961832061068702","131,0","131,0"
albertina,PT_PT,fold_4,precision,"0,5","0,0","0,5","0,25","0,25"
albertina,PT_PT,fold_4,recall,"1,0","0,0","0,5","0,5","0,5"
albertina,PT_PT,fold_4,f1-score,"0,6666666666666666","0,0","0,5","0,3333333333333333","0,3333333333333333"
albertina,PT_PT,fold_4,support,"65,0","65,0","0,5","130,0","130,0"
albertina,PT_PT,fold_5,precision,"0,5","0,0","0,5","0,25","0,25"
albertina,PT_PT,fold_5,recall,"1,0","0,0","0,5","0,5","0,5"
albertina,PT_PT,fold_5,f1-score,"0,6666666666666666","0,0","0,5","0,3333333333333333","0,3333333333333333"
albertina,PT_PT,fold_5,support,"65,0","65,0","0,5","130,0","130,0"
albertina,PT_PT,fold_6,precision,"0,5","0,0","0,5","0,25","0,25"
albertina,PT_PT,fold_6,recall,"1,0","0,0","0,5","0,5","0,5"
albertina,PT_PT,fold_6,f1-score,"0,6666666666666666","0,0","0,5","0,3333333333333333","0,3333333333333333"
albertina,PT_PT,fold_6,support,"65,0","65,0","0,5","130,0","130,0"
albertina,PT_PT,fold_7,precision,"0,6190476190476191","1,0","0,6923076923076923","0,8095238095238095","0,8095238095238095"
albertina,PT_PT,fold_7,recall,"1,0","0,38461538461538464","0,6923076923076923","0,6923076923076923","0,6923076923076923"
albertina,PT_PT,fold_7,f1-score,"0,7647058823529412","0,5555555555555556","0,6923076923076923","0,6601307189542485","0,6601307189542485"
albertina,PT_PT,fold_7,support,"65,0","65,0","0,6923076923076923","130,0","130,0"
albertina,PT_PT,fold_8,precision,"0,0","0,5","0,5","0,25","0,25"
albertina,PT_PT,fold_8,recall,"0,0","1,0","0,5","0,5","0,5"
albertina,PT_PT,fold_8,f1-score,"0,0","0,6666666666666666","0,5","0,3333333333333333","0,3333333333333333"
